Core	coretype	sampler	depth	mass	%2mm	water	wetden	dryden	om	carb
98-Duf(E)	vibracore	brass	25	7.31	0	41.42	1.76	1.03	4.09	1.25
98-Duf(E)	vibracore	brass	30	6.79	0.29	42.95	1.68	0.96	4.41	1.16
98-Duf(E)	vibracore	brass	35	6.43	0	45.6	1.67	0.91	5.21	1.83
98-Duf(E)	vibracore	brass	40	7.03	0	42.82	1.74	0.99	3.78	1.83
98-Duf(E)	vibracore	brass	45	6.4	0	45.06	1.64	0.9	4.6	1.97
98-Duf(E)	vibracore	brass	50	6.94	0	41.36	1.67	0.98	3.92	1.61
98-Duf(E)	vibracore	brass	55	5.59	0	48.15	1.52	0.79	5.43	1.67
98-Duf(E)	vibracore	brass	60	6.86	0	43.24	1.71	0.97	4.17	1.59
98-Duf(E)	vibracore	brass	65	7.64	0	40.48	1.81	1.08	4.09	1.11
98-Duf(E)	vibracore	brass	70	5.52	0	48.14	1.49	0.77	5.68	1.6
98-Duf(E)	vibracore	brass	75	5.34	0	50.89	1.52	0.75	7.2	1.81
98-Duf(E)	vibracore	brass	80	5.71	0	49.32	1.58	0.8	6.43	1.42
98-Duf(E)	vibracore	brass	85	6.83	4.25	43.34	1.7	0.96	4.96	1.43
98-Duf(E)	vibracore	brass	90	6.38	0	44.73	1.62	0.9	5.66	1.32
98-Duf(E)	vibracore	brass	95	6.9	0.72	43.19	1.71	0.97	4.09	1.44
98-Duf(E)	vibracore	brass	100	6.69	0.3	41.5	1.61	0.94	3.49	1.34
98-Duf(E)	vibracore	brass	105	5.73	0	47.22	1.52	0.8	5.19	1.65
98-Duf(E)	vibracore	brass	110	6.09	0	45.77	1.58	0.86	5.05	1.34
98-Duf(E)	vibracore	brass	115	6.49	0	45.29	1.67	0.91	5.38	1.37
98-Duf(E)	vibracore	brass	120	7.09	0	41.6	1.71	1	4.14	1.06
98-Duf(E)	vibracore	brass	125	6	0	48.47	1.64	0.84	6.86	1.08
98-Duf(E)	vibracore	brass	130	6.39	0	46.75	1.69	0.9	5.47	1.67
98-Duf(E)	vibracore	brass	135	6	0	47.82	1.61	0.84	6.64	1.69
98-Duf(E)	vibracore	brass	140	6.08	0.66	46.94	1.61	0.85	6.99	1.54
98-Duf(E)	vibracore	brass	145	7.26	0	41.43	1.75	1.02	5.44	1.13
98-Duf(E)	vibracore	brass	150	7.25	0	40.97	1.73	1.02	5.41	0.72
98-Duf(E)	vibracore	brass	155	6.16	0	46.07	1.61	0.87	6.07	1.68
98-Duf(E)	vibracore	brass	160	5.57	0	49.36	1.54	0.78	8.03	1.37
98-Duf(E)	vibracore	brass	165	5.5	0	50.49	1.55	0.77	8.34	1.07
98-Duf(E)	vibracore	brass	170	5.57	0	50.74	1.58	0.78	6.93	1.53
98-Duf(E)	vibracore	brass	175	5.33	0	50.17	1.5	0.75	6.9	1.31
98-Duf(E)	vibracore	brass	180	6.49	0	43.58	1.62	0.91	5.2	1.23
98-Duf(E)	vibracore	brass	185	5.57	0	49.24	1.54	0.78	6.86	1.14
98-Duf(E)	vibracore	brass	190	6.07	0	45.38	1.56	0.85	5.02	1.63
98-Duf(E)	vibracore	brass	195	6.57	0	43.95	1.65	0.93	4.89	1.55
98-Duf(E)	vibracore	brass	200	5.37	0	49.42	1.49	0.75	5.96	1.85
98-Duf(E)	vibracore	brass	205	6.72	0	43.01	1.66	0.95	4.82	1.65
98-Duf(E)	vibracore	brass	210	7.39	0	36.84	1.65	1.04	3.08	0.99
98-Duf(E)	vibracore	brass	215	6.31	0.48	45.34	1.62	0.89	5.68	1.05
98-Duf(E)	vibracore	brass	220	6.24	1.12	47.08	1.66	0.88	6.31	1.06
98-Duf(E)	vibracore	brass	225	5.34	0.75	50.27	1.51	0.75	7.34	1.48
98-Duf(E)	vibracore	brass	230	5.8	0	46.41	1.52	0.81	6.08	1.42
98-Duf(E)	vibracore	brass	235	6.98	0	41.93	1.69	0.98	5.01	1.33
98-Duf(E)	vibracore	brass	240	6.91	0	42.12	1.68	0.97	5.89	1.03
98-Duf(E)	vibracore	brass	245	6.01	0	45.54	1.55	0.84	5.5	1.27
98-Duf(E)	vibracore	brass	250	6.22	0	46.02	1.62	0.87	5.71	1.25
98-Duf(E)	vibracore	brass	255	5.8	0	48.4	1.58	0.81	6.05	1.47
98-Duf(E)	vibracore	brass	260	5.77	0	47.26	1.55	0.82	2.34	0.53
98-Duf(E)	vibracore	brass	265	5.97	0	46.77	1.58	0.84	5.73	1.4
98-Duf(E)	vibracore	brass	270	7.04	0	41.69	1.7	0.99	4.76	1.28
98-Duf(E)	vibracore	brass	275	5.97	0	47.95	1.61	0.84	5.95	1.56
98-Duf(E)	vibracore	brass	280	6.61	0.15	43.32	1.64	0.93	6.63	1.06
98-Duf(E)	vibracore	brass	285	6.82	0	43.75	1.71	0.96	5.26	1.34
98-Duf(E)	vibracore	brass	290	6.67	0	43.96	1.67	0.94	5.46	0.98
98-Duf(E)	vibracore	brass	295	8.67	0	33.07	1.83	1.22	3.97	0.66
98-Duf(E)	vibracore	brass	300	8.94	3.8	33.09	1.89	1.26	4.21	0.7
98-Duf(E)	vibracore	brass	305	10.04	56.47	16.56	1.71	1.43	2.87	0.84
98-Duf(E)	vibracore	brass	310	6.4	0	44.23	1.61	0.9	5.56	1.09
98-Duf(E)	vibracore	brass	315	6.52	0	43.44	1.61	0.91	3.49	2.32
98-Duf(E)	vibracore	brass	320	7.09	0	41.24	1.69	0.99	4.91	1.37
98-Duf(E)	vibracore	brass	325	6.1	0	46.92	1.61	0.85	6.75	2.06
98-Duf(E)	vibracore	brass	330	7.1	0	40.66	1.68	1	2.78	2.16
98-Duf(E)	vibracore	brass	335	6.55	0	44.76	1.66	0.92	5.25	1.51
98-Duf(E)	vibracore	brass	340	6.75	0	43.59	1.68	0.95	3.85	2.2
98-Duf(E)	vibracore	brass	345	7	0	41.97	1.69	0.98	3.79	1.97
98-Duf(E)	vibracore	brass	350	6.42	0.31	45.27	1.64	0.9	5.06	1.99
98-Duf(E)	vibracore	brass	355	6.55	0	44.42	1.65	0.92	4.6	2.08
98-Duf(E)	vibracore	brass	360	5.11	0	51.79	1.48	0.71	7.11	1.99
98-Duf(E)	vibracore	brass	365	5.64	0	49.68	1.57	0.79	6.62	2.28
98-Duf(E)	vibracore	brass	370	6.42	0	44.46	1.62	0.9	6.15	2.12
98-Duf(E)	vibracore	brass	375	6.96	0	40.65	1.65	0.98	6.08	1.37
98-Duf(E)	vibracore	brass	380	6.16	0	45.54	1.58	0.86	6.05	1.91
98-Duf(E)	vibracore	brass	385	6.29	0	45.78	1.62	0.88	7.24	1.96
98-Duf(E)	vibracore	brass	390	7.07	0	41.87	1.7	0.99	7.35	1.39
98-Duf(E)	vibracore	brass	395	7.12	0	41.7	1.72	1	5.33	1.08
98-Duf(E)	vibracore	brass	400	7.02	0	42.25	1.7	0.98	5.34	0.99
98-Duf(E)	vibracore	brass	405	6.62	4.38	43.95	1.66	0.93	5.18	1.39
98-Duf(E)	vibracore	brass	410	5.98	0	47.71	1.6	0.83	6.76	1.59
98-Duf(E)	vibracore	brass	415	7.02	0.71	42.03	1.7	0.98	5.45	1.1
98-Duf(E)	vibracore	brass	420	7.25	0.28	39.94	1.69	1.02	4.68	1.37
98-Duf(E)	vibracore	brass	425	7.38	0	38.79	1.69	1.03	4.11	1.22
98-Duf(E)	vibracore	brass	430	7.45	0	39.65	1.73	1.04	4.19	1.59
98-Duf(E)	vibracore	brass	435	7.5	0	39.69	1.74	1.05	4.99	1.18
98-Duf(E)	vibracore	brass	440	5.53	0	49	1.51	0.77	8.83	1.43
98-Duf(E)	vibracore	brass	445	6.84	0	43.14	1.69	0.96	4.84	1.47
98-Duf(E)	vibracore	brass	450	6.29	0	45.67	1.62	0.88	5.97	1.5
98-Duf(E)	vibracore	brass	455	7.26	0	41.13	1.73	1.02	4.99	0.97
98-Duf(E)	vibracore	brass	460	6.84	0.58	43.18	1.68	0.96	4.88	1.49
98-Duf(E)	vibracore	brass	465	6.15	0	47.05	1.61	0.85	5.99	1.37
98-Duf(E)	vibracore	brass	470	7.3	0	40.03	1.71	1.02	4.74	1.46
98-Duf(E)	vibracore	brass	475	6.32	0	45.42	1.62	0.89	4.17	2
98-Duf(E)	vibracore	brass	480	6.93	0	42.74	1.69	0.97	5.12	1.76
98-Duf(E)	vibracore	brass	485	6.5	0	42.46	1.58	0.91	5.33	1.32
98-Duf(E)	vibracore	brass	490	7.14	0	40.73	1.69	1	4.64	1.87
98-Duf(E)	vibracore	brass	495	7.21	0	40.22	1.69	1.01	4.56	1.38
98-Duf(E)	vibracore	brass	500	7.07	0	38.9	1.62	0.99	3.83	1.24
98-Duf(E)	vibracore	brass	505	7.5	0	39.6	1.75	1.06	4.57	1.24
98-Duf(E)	vibracore	brass	510	7.41	0	38.6	1.7	1.04	3.56	1.41
98-Duf(E)	vibracore	brass	515	6.84	0	40.55	1.62	0.96	4.75	1.48
98-Duf(E)	vibracore	brass	520	7.34	0	40.47	1.73	1.03	4.92	1.02
98-Duf(E)	vibracore	brass	525	5.93	0	51.81	1.73	0.83	4.57	1.04
98-Duf(E)	vibracore	brass	530	7.64	0	39.69	1.78	1.08	5.06	1.07
98-Duf(E)	vibracore	brass	535	8.38	0	29.08	1.66	1.18	5.7	1.21
98-Duf(E)	vibracore	brass	540	9.06	0	23.27	1.67	1.28	4.35	1.45
98-Duf(E)	vibracore	brass	545	6.61	0	46.53	1.74	0.93	5.12	1.35
98-Duf(E)	vibracore	brass	550	6.77	0	45.95	1.77	0.96	3.94	1.55
98-Duf(E)	vibracore	brass	555	7.59	0	42.42	1.87	1.07	4.38	1.75
98-Duf(E)	vibracore	brass	560	5.97	0	50.25	1.67	0.83	5.04	1.89
98-Duf(E)	vibracore	brass	565	6.83	0	46.89	1.82	0.97	4.53	1.84
98-Duf(E)	vibracore	brass	570	8.29	0	35.27	1.81	1.17	5.26	1.48
98-Duf(E)	vibracore	brass	575	6.34	0	45.49	1.64	0.89	6.62	1.93
98-Duf(E)	vibracore	brass	580	7.03	0	43.84	1.77	0.99	4.94	2.09
98-Duf(E)	vibracore	brass	585	7.09	0	43.55	1.78	1	5.32	1.63
98-Duf(E)	vibracore	brass	590	7.67	0	29.57	1.54	1.08	4.49	1.49
98-Duf(E)	vibracore	brass	595	8.71	0	34.38	1.87	1.23	7.57	1.93
98-Duf(E)	vibracore	brass	600	7.11	0	32.67	1.49	1	5.97	1.73
98-Duf(E)	vibracore	brass	605	6.26	0	47.33	1.68	0.88	5.97	1.55
98-Duf(E)	vibracore	brass	610	6.7	0	43.67	1.68	0.95	6.21	1.75
98-Duf(E)	vibracore	brass	615	7.26	0	41.99	1.77	1.02	4.77	1.84
98-Duf(E)	vibracore	brass	620	6.91	0	41.56	1.67	0.97	4.77	1.9
98-Duf(E)	vibracore	brass	625	6.58	0	42.74	1.62	0.93	4.79	1.9
98-Duf(E)	vibracore	brass	630	6.36	0	44.14	1.61	0.9	5.39	1.97
98-Duf(E)	vibracore	brass	635	7.08	0	42.58	1.74	1	5.36	1.57
98-Duf(E)	vibracore	brass	640	7.03	0	42.55	1.73	0.99	4.72	2.33
98-Duf(E)	vibracore	brass	645	6.21	0	47.17	1.68	0.89	6.09	2.43
98-Duf(E)	vibracore	brass	650	6.5	0	44.13	1.66	0.93	5.81	2.03
98-Duf(E)	vibracore	brass	655	5.93	0	46.56	1.59	0.85	6	2.18
98-Duf(E)	vibracore	brass	660	6.52	0	43.46	1.65	0.93	5.31	2.22
98-Duf(E)	vibracore	brass	665	6.68	0	42.77	1.67	0.95	2.62	1.01
98-Duf(E)	vibracore	brass	670	8.1	0	36.68	1.83	1.16	4.66	1.67
98-Duf(E)	vibracore	brass	675	7.74	0	37.36	1.77	1.11	4.46	1.48
98-Duf(E)	vibracore	brass	680	7.03	0	40.7	1.69	1	5.24	1.67
98-Duf(E)	vibracore	brass	685	6.93	0	41.98	1.71	0.99	5.56	1.51
98-Duf(E)	vibracore	brass	690	6.45	0	44.49	1.66	0.92	6.06	1.6
98-Duf(E)	vibracore	brass	695	6.21	0	44.22	1.67	0.93	6.41	1.58
98-Duf(E)	vibracore	brass	700	7.81	0	37.01	1.77	1.12	4.99	1.29
98-Duf(E)	vibracore	brass	705	6.01	0	47.06	1.62	0.86	7.28	1.83
98-Duf(E)	vibracore	brass	710	6.1	0	46.87	1.64	0.87	6.76	2
98-Duf(E)	vibracore	brass	715	6.71	0	42.55	1.67	0.96	5.9	1.88
98-Duf(E)	vibracore	brass	720	6.35	0	45.98	1.68	0.91	7.08	1.84
98-Duf(E)	vibracore	brass	725	6.44	0	45.93	1.7	0.92	7.37	1.95
98-Duf(E)	vibracore	brass	730	6.17	0	46.36	1.64	0.88	6.74	2.52
98-Duf(E)	vibracore	brass	735	6.7	0	43.38	1.69	0.96	5.98	2.05
98-Duf(E)	vibracore	brass	740	6.5	0	45.01	1.69	0.93	6.58	2.09
98-Duf(E)	vibracore	brass	745	6.55	0	43.99	1.67	0.94	6.48	1.91
98-Duf(E)	vibracore	brass	750	7.8	0	36.32	1.75	1.11	4.21	1.39
98-Duf(E)	vibracore	brass	755	7.17	0	41.7	1.76	1.02	5.69	1.62
98-Duf(E)	vibracore	brass	760	6.18	0	45.34	1.62	0.88	8.72	1.68
98-Duf(E)	vibracore	brass	765	6.88	0	39.88	1.69	1.01	5.74	2.18
98-Duf(E)	vibracore	brass	768	6.51	0	40.42	1.63	0.97	7.58	1.82
98-Jof(A)	ekman	square	0.5	2.457387458	0	72.36	1.25	0.34	12.89	2.86
98-Jof(A)	ekman	square	1.5	2.878501592	0	69.11	1.31	0.4	12.42	2.24
98-Jof(A)	ekman	square	2.5	3.257613909	0	65.42	1.32	0.46	10.34	2.2
98-Jof(A)	ekman	square	3.5	4.024605757	0	60.11	1.42	0.56	7.13	3.52
98-Jof(A)	ekman	square	4.5	4.64101432	0	56.34	1.49	0.65	6.15	3.07
98-Jof(A)	ekman	square	5.5	4.85318612	0	55.27	1.52	0.68	6.18	3.38
98-Jof(A)	ekman	square	6.5	5.466790516	0	51.49	1.58	0.77	6.04	2.2
98-Jof(A)	ekman	square	7.5	5.627539185	0	49.53	1.56	0.79	5.68	1.99
98-Jof(A)	ekman	square	8.5	5.58972541	0	49.6	1.56	0.78	5.53	2.19
98-Jof(A)	ekman	square	9.5	5.545137615	0	50.04	1.56	0.78	5.83	2
98-Jof(A)	ekman	square	10.5	5.666800477	0	50.68	1.61	0.79	6.21	2.01
98-Jof(A)	ekman	square	11.5	5.734369829	0	49.74	1.6	0.8	6.11	1.96
98-Jof(A)	ekman	square	12.5	5.914167528	0	47.05	1.57	0.83	5.49	2.12
98-Jof(B)	ekman	square	0.5	2.705021081	0	69.37	1.24	0.38	16.01	1.54
98-Jof(B)	ekman	square	1.5	2.758917417	0	70.37	1.31	0.39	17.4	1.98
98-Jof(B)	ekman	square	2.5	2.547703146	0	71.37	1.25	0.36	16.22	2.16
98-Jof(B)	ekman	square	3.5	2.515129671	0	72.02	1.26	0.35	15.68	2.01
98-Jof(B)	ekman	square	4.5	2.576398498	0	71.02	1.25	0.36	15.31	2.12
98-Jof(B)	ekman	square	5.5	2.664931588	0	70.65	1.27	0.37	14.84	2.35
98-Jof(B)	ekman	square	6.5	3.007264957	0	67.73	1.31	0.42	13.51	1.63
98-Jof(B)	ekman	square	7.5	3.546759333	0	63.05	1.35	0.5	11.8	2.01
98-Jof(B)	ekman	square	8.5	4.488277605	0	57.34	1.48	0.63	9.13	2.06
98-Jof(B)	ekman	square	9.5	4.404248868	0	56.82	1.43	0.62	8.67	1.93
98-Jof(B)	ekman	square	10.5	4.486694198	0	56.01	1.43	0.63	9.04	1.83
98-Jof(B)	ekman	square	11.5	4.284228686	0	56.68	1.39	0.6	8.65	2.25
98-Jof(B)	ekman	square	12.5	4.748505003	0	54.21	1.45	0.67	6.31	2.34
98-Jof(B)	ekman	square	13.5	5.388701647	0	50.01	1.51	0.76	5.51	2.21
99-Jof(01)	vibracore	brass	0.5	4	0	58.27	1.37	0.57	8.24	2.39
99-Jof(01)	vibracore	brass	2	4.23	0	58.24	1.45	0.6	7.2	3.2
99-Jof(01)	vibracore	brass	4	4.62	0	55.52	1.48	0.66	6.99	2.41
99-Jof(01)	vibracore	brass	6	4.62	0	53.18	1.41	0.66	6	2.6
99-Jof(01)	vibracore	brass	8	4.95	0	50.45	1.43	0.71	6.01	2.03
99-Jof(01)	vibracore	brass	10	4.63	0	54.28	1.45	0.66	6.71	2.51
99-Jof(01)	vibracore	brass	12	4.87	0	52.13	1.45	0.7	6.33	2.32
99-Jof(01)	vibracore	brass	14	4.92	0	51.75	1.46	0.7	5.15	2.83
99-Jof(01)	vibracore	brass	16	5.68	0	47.87	1.56	0.81	4.26	2.69
99-Jof(01)	vibracore	brass	18	5.04	0	51.33	1.48	0.72	5.99	2.63
99-Jof(01)	vibracore	brass	20	5.21	0	49.82	1.48	0.74	5.27	2.75
99-Jof(01)	vibracore	brass	22	4.24	0	56.67	1.4	0.61	8.32	2.46
99-Jof(01)	vibracore	brass	24	4.33	0	57.03	1.44	0.62	8.33	2.44
99-Jof(01)	vibracore	brass	26	5.07	0	50.9	1.48	0.72	6.8	2.11
99-Jof(01)	vibracore	brass	28	4.82	0	51.61	1.42	0.69	6.73	1.85
99-Jof(01)	vibracore	brass	30	5.53	0	48.79	1.54	0.79	6.15	2.29
99-Jof(01)	vibracore	brass	32	5.89	0	44.83	1.53	0.84	5.97	1.89
99-Jof(01)	vibracore	brass	34	5.44	0	49.51	1.54	0.78	5.15	2.46
99-Jof(01)	vibracore	brass	36	5.09	0	51.22	1.49	0.73	5.83	2.57
99-Jof(01)	vibracore	brass	38	5.49	0	48.76	1.53	0.78	5.85	2.22
99-Jof(01)	vibracore	brass	40	5.21	0	49.57	1.48	0.74	7.83	2.15
99-Jof(01)	vibracore	brass	42	4.7	0	53.47	1.44	0.67	6.37	2.4
99-Jof(01)	vibracore	brass	44	4.88	0	52.65	1.47	0.7	5.53	2.47
99-Jof(01)	vibracore	brass	46	4.83	0	52.84	1.46	0.69	5.41	2.38
99-Jof(01)	vibracore	brass	48	5	0	52.96	1.52	0.71	6.4	1.98
99-Jof(01)	vibracore	brass	50	5.18	0	50.69	1.5	0.74	5.33	2.16
99-Jof(01)	vibracore	brass	52	5.02	0	51.33	1.47	0.72	5.64	2.19
99-Jof(01)	vibracore	brass	54	4.89	0	52.96	1.49	0.7	7.3	2.47
99-Jof(01)	vibracore	brass	56	4.75	0	53.29	1.45	0.68	6.4	2.55
99-Jof(01)	vibracore	brass	58	4.67	0	54.25	1.46	0.67	6.66	2.55
99-Jof(01)	vibracore	brass	60	5.47	0	49.22	1.54	0.78	4.72	2.32
99-Jof(01)	vibracore	brass	62	5.29	0	50.31	1.52	0.76	5.3	2.43
99-Jof(01)	vibracore	brass	64	4.63	0	53.69	1.43	0.66	6.89	2.13
99-Jof(01)	vibracore	brass	66	4.48	0	54.41	1.4	0.64	7.44	1.72
99-Jof(01)	vibracore	brass	68	4.64	0	53.9	1.44	0.66	7.39	1.97
99-Jof(01)	vibracore	brass	70	4.59	0	53.43	1.41	0.66	7.38	2
99-Jof(01)	vibracore	brass	72	4.94	0	51.8	1.46	0.71	6.74	1.63
99-Jof(01)	vibracore	brass	74	5.07	0	50.75	1.47	0.72	7.69	0.75
99-Jof(01)	vibracore	brass	76	5.55	0	47.01	1.5	0.79	6.67	1.41
99-Jof(01)	vibracore	brass	78	5.64	0	47.48	1.53	0.81	5.27	2.02
99-Jof(01)	vibracore	brass	80	5.96	0	45.15	1.55	0.85	4.26	2.28
99-Jof(01)	vibracore	brass	82	5.4	0	48.48	1.5	0.77	5.3	2.13
99-Jof(01)	vibracore	brass	84	4.58	0	53.1	1.39	0.65	7.57	2.17
99-Jof(01)	vibracore	brass	86	4.96	0	48.8	1.38	0.71	10.14	2.78
99-Jof(01)	vibracore	brass	88	4.36	0	57	1.45	0.62	8.99	2.45
99-Jof(01)	vibracore	brass	90	4.27	0	56.59	1.4	0.61	8.09	2.4
99-Jof(01)	vibracore	brass	92	4.44	0	55.5	1.42	0.63	9.23	0.7
99-Jof(01)	vibracore	brass	94	4.7	0	54.77	1.49	0.67	7.99	1.78
99-Jof(01)	vibracore	brass	96	4.54	0	54.61	1.43	0.65	8.31	1.76
99-Jof(01)	vibracore	brass	98	5.13	0	51.74	1.52	0.73	6.73	1.86
99-Jof(01)	vibracore	brass	100	5.59	0	49.04	1.57	0.8	6.19	1.78
99-Jof(01)	vibracore	brass	102	5.4	0	50.26	1.55	0.77	6.09	2.08
99-Jof(01)	vibracore	brass	104	5.49	0	49.37	1.55	0.78	5.58	2.27
99-Jof(01)	vibracore	brass	106	4.84	0	53.33	1.48	0.69	6.76	1.98
99-Jof(01)	vibracore	brass	108	4.87	0	52.85	1.47	0.7	6.79	1.95
99-Jof(01)	vibracore	brass	110	6.02	0	45.22	1.57	0.86	4.94	1.56
99-Jof(01)	vibracore	brass	112	5.26	0	50.3	1.51	0.75	6.38	1.82
99-Jof(01)	vibracore	brass	114	5.62	0	47.84	1.54	0.8	4.86	2.05
99-Jof(01)	vibracore	brass	116	6.03	0	45.93	1.59	0.86	5.45	1.71
99-Jof(01)	vibracore	brass	118	6.08	0	44.75	1.57	0.87	4.56	1.84
99-Jof(01)	vibracore	brass	120	4.75	0	53.77	1.47	0.68	11.31	0.88
99-Jof(01)	vibracore	brass	122	5.35	0	50.69	1.55	0.76	8.47	1.91
99-Jof(01)	vibracore	brass	124	5.88	0	47.93	1.61	0.84	7.11	1.88
99-Jof(01)	vibracore	brass	126	6.5	0	43.51	1.64	0.93	4.95	1.93
99-Jof(01)	vibracore	brass	128	6.01	0	45.47	1.57	0.86	8.13	0.78
99-Jof(01)	vibracore	brass	130	6.2	0	44.82	1.6	0.89	7.14	0.95
99-Jof(01)	vibracore	brass	132	5.45	0	48.97	1.53	0.78	8.44	1.07
99-Jof(01)	vibracore	brass	134	5.3	0	50.39	1.53	0.76	8.6	1.17
99-Jof(01)	vibracore	brass	136	7.25	0	39.15	1.7	1.04	5.48	0.66
99-Jof(01)	vibracore	brass	138	6.32	0	42.89	1.58	0.9	5.37	1.93
99-Jof(01)	vibracore	brass	140	5.7	0	48.14	1.57	0.81	6.67	1.87
99-Jof(01)	vibracore	brass	142	5.62	0	49.01	1.57	0.8	6.54	1.8
99-Jof(01)	vibracore	brass	144	4.87	0	53.8	1.51	0.7	8.76	1.25
99-Jof(01)	vibracore	brass	146	5.44	0	50.23	1.56	0.78	6.32	1.43
99-Jof(01)	vibracore	brass	148	6.36	0	45.09	1.65	0.91	4.93	1.4
99-Jof(01)	vibracore	brass	150	5.16	0	52.3	1.54	0.74	7.12	1.32
99-Jof(01)	vibracore	brass	152	5.16	0	51.78	1.53	0.74	7.68	0.91
99-Jof(01)	vibracore	brass	154	5.92	0	47.35	1.61	0.85	6.18	0.9
99-Jof(01)	vibracore	brass	156	5.57	0	49.09	1.56	0.8	6.58	0.8
99-Jof(01)	vibracore	brass	158	5.91	0	46.48	1.58	0.84	6.34	0.67
99-Jof(01)	vibracore	brass	160	5.84	0	47.93	1.6	0.83	7.1	0.77
99-Jof(01)	vibracore	brass	162	7.61	0	30.92	1.57	1.09	5.56	0.4
99-Jof(01)	vibracore	brass	164	4.57	0	60.43	1.65	0.65	5.95	1.27
99-Jof(01)	vibracore	brass	166	4.71	0	54.19	1.47	0.67	7.7	1.1
99-Jof(01)	vibracore	brass	168	5.1	0	51.81	1.51	0.73	6.67	1.28
99-Jof(01)	vibracore	brass	170	5.98	0	46.64	1.6	0.85	4.76	1.3
99-Jof(01)	vibracore	brass	172	6.67	0	43.19	1.68	0.95	3.98	1.61
99-Jof(01)	vibracore	brass	174	6.43	0	44.74	1.66	0.92	4	1.53
99-Jof(01)	vibracore	brass	176	6.39	0	45.12	1.66	0.91	4.78	1.21
99-Jof(01)	vibracore	brass	178	5.74	0	48.16	1.58	0.82	5.45	1.35
99-Jof(01)	vibracore	brass	180	4.69	0	54.16	1.46	0.67	8.14	1.01
99-Jof(01)	vibracore	brass	182	4.83	0	53.73	1.49	0.69	9.24	0.95
99-Jof(01)	vibracore	brass	184	5.06	0	52.18	1.51	0.72	7.04	0.94
99-Jof(01)	vibracore	brass	186	4.58	0	55.13	1.46	0.65	8.74	0.87
99-Jof(01)	vibracore	brass	188	5.4	0	50.31	1.55	0.77	4.95	1.38
99-Jof(01)	vibracore	brass	190	4.7	0	55.39	1.5	0.67	7.18	1.13
99-Jof(01)	vibracore	brass	192	4.52	0	55.3	1.44	0.65	8.21	1.71
99-Jof(01)	vibracore	brass	194	4.95	0	52.89	1.5	0.71	8.09	1.76
99-Jof(01)	vibracore	brass	196	6.24	0	44.71	1.61	0.89	5.41	1.62
99-Jof(01)	vibracore	brass	198	2.24	0	65.74	0.93	0.32	22.78	1.58
99-Jof(01)	vibracore	brass	200	1.89	0	70.6	0.92	0.27	30.01	0.43
99-Jof(01)	vibracore	brass	202	4.3	0	57.22	1.44	0.61	11.65	1.94
99-Jof(01)	vibracore	brass	204	5.44	0	49.44	1.54	0.78	5.92	2.35
99-Jof(01)	vibracore	brass	206	4.76	0	54.06	1.48	0.68	7.22	2.54
99-Jof(01)	vibracore	brass	208	4.62	0	54.75	1.46	0.66	8.09	2.03
99-Jof(01)	vibracore	brass	210	5.23	0	48.66	1.45	0.75	6.52	2.05
99-Jof(01)	vibracore	brass	212	5.22	0	50.92	1.52	0.75	7.13	1.8
99-Jof(01)	vibracore	brass	214	4.64	0	54.82	1.47	0.66	9.41	1.71
99-Jof(01)	vibracore	brass	216	4.33	0	56.89	1.44	0.62	9.76	1.74
99-Jof(01)	vibracore	brass	218	4.42	0	56.39	1.45	0.63	9.26	1.88
99-Jof(01)	vibracore	brass	220	4.62	0	55.1	1.47	0.66	7.63	1.95
99-Jof(01)	vibracore	brass	222	5.01	0	52.25	1.5	0.72	7.18	1.93
99-Jof(01)	vibracore	brass	224	5.62	0	48.93	1.57	0.8	6.11	1.77
99-Jof(01)	vibracore	brass	226	5.6	0	49.53	1.58	0.8	6.22	1.9
99-Jof(01)	vibracore	brass	228	5.46	0	49.43	1.54	0.78	6.23	1.94
99-Jof(01)	vibracore	brass	230	5.15	0	51.63	1.52	0.74	6.59	1.8
99-Jof(01)	vibracore	brass	232	4.28	0	57.01	1.42	0.61	9.58	1.94
99-Jof(01)	vibracore	brass	234	4.07	0	58.81	1.41	0.58	11	1.91
99-Jof(01)	vibracore	brass	236	4.2	0	55.22	1.34	0.6	10.08	2.04
99-Jof(01)	vibracore	brass	238	4.55	0	55.63	1.46	0.65	7.03	2.21
99-Jof(01)	vibracore	brass	240	4.73	0	54.74	1.49	0.68	6.98	1.87
99-Jof(01)	vibracore	brass	242	4.54	0	56.18	1.48	0.65	6.66	1.95
99-Jof(01)	vibracore	brass	244	5.25	0	51.67	1.55	0.75	6.04	1.92
99-Jof(01)	vibracore	brass	246	4.43	0	56.08	1.44	0.63	8.2	1.73
99-Jof(01)	vibracore	brass	248	4.25	0	57.61	1.43	0.61	9.46	1.59
99-Jof(01)	vibracore	brass	250	4.89	0	53.49	1.5	0.7	6.55	1.75
99-Jof(01)	vibracore	brass	252	4.96	0	52.77	1.5	0.71	7.35	1.43
99-Jof(01)	vibracore	brass	254	5.03	0	52.27	1.5	0.72	6.56	1.68
99-Jof(01)	vibracore	brass	256	4.5	0	56.36	1.47	0.64	7.97	0.93
99-Jof(01)	vibracore	brass	258	5.03	0	49.92	1.44	0.72	7.71	0.85
99-Jof(01)	vibracore	brass	260	4.72	0	53.9	1.46	0.67	7.76	1.11
99-Jof(01)	vibracore	brass	262	4.77	0	54.32	1.49	0.68	7.15	1.18
